date,week_number,year,region,therapeutic_area,product,brand,trx,nrx,units,raw_region,raw_ta,raw_product,raw_brand,is_missing_categorical,parsed_date,iso_date,iso_year,iso_week,year_week,is_week_mismatch,clean_region,clean_therapeutic_area,clean_product,clean_brand,clean_trx,clean_nrx,clean_units,is_negative_trx,is_missing_numeric,is_nrx_gt_trx_error,is_duplicate,rejection_reason
2023/07/03,79,2023,,  Cardiology  ,Cardivex,Corvyx Pharma,286.2,78.8,918,,Cardiology,Cardivex,Corvyx Pharma,True,2023-07-03,2023-07-03,2023,27,2023-W27,False,Unknown,Cardiology,Cardivex,Corvyx Pharma,286.2,78.8,918.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
20/11/2023,99,2023,tamil nadu,cardiology,Cardivex,,292.1,87.5,766,tamil nadu,cardiology,Cardivex,,True,2023-11-20,2023-11-20,2023,47,2023-W47,False,Tamil Nadu,Cardiology,Cardivex,Unknown,292.1,87.5,766.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
07/10/2023,80,2023,W. Bengal,respiratory,Respivan,,113.3,38.2,324,W. Bengal,respiratory,Respivan,,True,2023-07-10,2023-07-10,2023,28,2023-W28,False,West Bengal,Respiratory,Respivan,Unknown,113.3,38.2,324.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
25/04/2022,17,2022,Andhra Pradesh,  Cardiology  ,Cardivex,,261.0,89.7,879,Andhra Pradesh,Cardiology,Cardivex,,True,2022-04-25,2022-04-25,2022,17,2022-W17,False,Andhra Pradesh,Cardiology,Cardivex,Unknown,261.0,89.7,879.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
2024/07/08,132,2024,West Bengal,  Respiratory  ,Airovent,,67.7,11.9,204,West Bengal,Respiratory,Airovent,,True,2024-07-08,2024-07-08,2024,28,2024-W28,False,West Bengal,Respiratory,Airovent,Unknown,67.7,11.9,204.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
02/10/2025,163,2025,,respiratory,Respivan,Aerovant Pharma,119.5,31.0,303,,respiratory,Respivan,Aerovant Pharma,True,2025-02-10,2025-02-10,2025,7,2025-W07,False,Unknown,Respiratory,Respivan,Aerovant Pharma,119.5,31.0,303.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
20-Jan-2025,160,2025,Karnataka,diabetes,Glucotend,,247.0,68.3,620,Karnataka,diabetes,Glucotend,,True,2025-01-20,2025-01-20,2025,4,2025-W04,False,Karnataka,Diabetes,Glucotend,Unknown,247.0,68.3,620.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
2024/01/08,106,2024,,CARDIOLOGY,Cardivex,Corvyx Pharma,189.6,49.2,569,,CARDIOLOGY,Cardivex,Corvyx Pharma,True,2024-01-08,2024-01-08,2024,2,2024-W02,False,Unknown,Cardiology,Cardivex,Corvyx Pharma,189.6,49.2,569.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
19/09/2022,38,2022,West Bengal,Cardiology,Cordamet,,256.9,,777,West Bengal,Cardiology,Cordamet,,True,2022-09-19,2022-09-19,2022,38,2022-W38,False,West Bengal,Cardiology,Cordamet,Unknown,256.9,,777.0,False,True,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
2024-11-18,151,2024,,Diabetes,Glucotend,Glucera Health,339.7,78.3,1062,,Diabetes,Glucotend,Glucera Health,True,2024-11-18,2024-11-18,2024,47,2024-W47,False,Unknown,Diabetes,Glucotend,Glucera Health,339.7,78.3,1062.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2025/01/06,158,2025,,DIABETES,Metforal,Novanta Pharma,205.7,57.5,696,,DIABETES,Metforal,Novanta Pharma,True,2025-01-06,2025-01-06,2025,2,2025-W02,False,Unknown,Diabetes,Metforal,Novanta Pharma,205.7,57.5,696.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
15/01/2024,107,2024,  Delhi  ,Respiratory,Airovent,,197.6,52.6,597,Delhi,Respiratory,Airovent,,True,2024-01-15,2024-01-15,2024,3,2024-W03,False,Delhi,Respiratory,Airovent,Unknown,197.6,52.6,597.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
20/06/2022,25,2022,,cardiology,Cardivex,Corvyx Pharma,332.7,93.6,836,,cardiology,Cardivex,Corvyx Pharma,True,2022-06-20,2022-06-20,2022,25,2022-W25,False,Unknown,Cardiology,Cardivex,Corvyx Pharma,332.7,93.6,836.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
01/20/2025,160,2025,,diabetes,Glucotend,Glucera Health,212.5,61.2,617,,diabetes,Glucotend,Glucera Health,True,2025-01-20,2025-01-20,2025,4,2025-W04,False,Unknown,Diabetes,Glucotend,Glucera Health,212.5,61.2,617.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
10-Jun-2024,128,2024,,CARDIOLOGY,Cordamet,Meditrix Labs,371.4,87.7,1227,,CARDIOLOGY,Cordamet,Meditrix Labs,True,2024-06-10,2024-06-10,2024,24,2024-W24,False,Unknown,Cardiology,Cordamet,Meditrix Labs,371.4,87.7,1227.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
27-Oct-2025,200,2025,Maharashtra,Respiratory,Respivan,,226.0,54.6,720,Maharashtra,Respiratory,Respivan,,True,2025-10-27,2025-10-27,2025,44,2025-W44,False,Maharashtra,Respiratory,Respivan,Unknown,226.0,54.6,720.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
08/25/2025,191,2025,,  Cardiology  ,Cardivex,Corvyx Pharma,204.6,45.3,616,,Cardiology,Cardivex,Corvyx Pharma,True,2025-08-25,2025-08-25,2025,35,2025-W35,False,Unknown,Cardiology,Cardivex,Corvyx Pharma,204.6,45.3,616.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2025-12-01,205,2025,  Tamil Nadu  ,Respiratory,Airovent,,155.0,49.8,410,Tamil Nadu,Respiratory,Airovent,,True,2025-12-01,2025-12-01,2025,49,2025-W49,False,Tamil Nadu,Respiratory,Airovent,Unknown,155.0,49.8,410.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
12/12/2022,50,2022,,respiratory,Bronchel,Breathex Labs,186.1,55.9,491,,respiratory,Bronchel,Breathex Labs,True,2022-12-12,2022-12-12,2022,50,2022-W50,False,Unknown,Respiratory,Bronchel,Breathex Labs,186.1,55.9,491.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
23-Jun-2025,182,2025,ANDHRA PRADESH,  Cardiology  ,Cardivex,,138.9,34.3,393,ANDHRA PRADESH,Cardiology,Cardivex,,True,2025-06-23,2025-06-23,2025,26,2025-W26,False,Andhra Pradesh,Cardiology,Cardivex,Unknown,138.9,34.3,393.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
22-Jul-2024,134,2024,KERALA,Diabetes,Metforal,,206.4,54.1,519,KERALA,Diabetes,Metforal,,True,2024-07-22,2024-07-22,2024,30,2024-W30,False,Kerala,Diabetes,Metforal,Unknown,206.4,54.1,519.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
23-Jun-2025,182,2025,MAHARASHTRA,diabetes,Insulyn,,,119.1,939,MAHARASHTRA,diabetes,Insulyn,,True,2025-06-23,2025-06-23,2025,26,2025-W26,False,Maharashtra,Diabetes,Insulyn,Unknown,,119.1,939.0,False,True,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
2024/07/01,131,2024,,  Respiratory  ,Respivan,Aerovant Pharma,184.8,41.1,624,,Respiratory,Respivan,Aerovant Pharma,True,2024-07-01,2024-07-01,2024,27,2024-W27,False,Unknown,Respiratory,Respivan,Aerovant Pharma,184.8,41.1,624.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2024-07-01,131,2024,kerala,respiratory,Airovent,,64.8,10.2,194,kerala,respiratory,Airovent,,True,2024-07-01,2024-07-01,2024,27,2024-W27,False,Kerala,Respiratory,Airovent,Unknown,64.8,10.2,194.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
05-Feb-2024,110,2024,  Andhra Pradesh  ,diabetes,Metforal,,131.0,,338,Andhra Pradesh,diabetes,Metforal,,True,2024-02-05,2024-02-05,2024,6,2024-W06,False,Andhra Pradesh,Diabetes,Metforal,Unknown,131.0,,338.0,False,True,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
08/11/2025,189,2025,,Diabetes,Insulyn,Insulara Biotech,246.1,82.2,804,,Diabetes,Insulyn,Insulara Biotech,True,2025-08-11,2025-08-11,2025,33,2025-W33,False,Unknown,Diabetes,Insulyn,Insulara Biotech,246.1,82.2,804.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
02/03/2025,162,2025,,  Diabetes  ,Glucotend,Glucera Health,272.8,79.4,844,,Diabetes,Glucotend,Glucera Health,True,2025-02-03,2025-02-03,2025,6,2025-W06,False,Unknown,Diabetes,Glucotend,Glucera Health,272.8,79.4,844.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
04-Nov-2024,149,2024,TELANGANA,Diabetes,Insulyn,,291.9,74.6,781,TELANGANA,Diabetes,Insulyn,,True,2024-11-04,2024-11-04,2024,45,2024-W45,False,Telangana,Diabetes,Insulyn,Unknown,291.9,74.6,781.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
2023/10/30,96,2023,,diabetes,Insulyn,Insulara Biotech,328.5,92.5,843,,diabetes,Insulyn,Insulara Biotech,True,2023-10-30,2023-10-30,2023,44,2023-W44,False,Unknown,Diabetes,Insulyn,Insulara Biotech,328.5,92.5,843.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2022-03-14,11,2022,,Diabetes,Glucotend,Glucera Health,146.9,37.7,498,,Diabetes,Glucotend,Glucera Health,True,2022-03-14,2022-03-14,2022,11,2022-W11,False,Unknown,Diabetes,Glucotend,Glucera Health,146.9,37.7,498.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
02/05/2022,18,2022,Gujarat,CARDIOLOGY,Cardivex,,265.1,80.0,678,Gujarat,CARDIOLOGY,Cardivex,,True,2022-05-02,2022-05-02,2022,18,2022-W18,False,Gujarat,Cardiology,Cardivex,Unknown,265.1,80.0,678.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
2022-01-17,3,2022,,DIABETES,Metforal,Novanta Pharma,123.1,43.3,382,,DIABETES,Metforal,Novanta Pharma,True,2022-01-17,2022-01-17,2022,3,2022-W03,False,Unknown,Diabetes,Metforal,Novanta Pharma,123.1,43.3,382.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2022-01-31,5,2022,,Cardiology,Cardivex,Corvyx Pharma,191.9,43.3,551,,Cardiology,Cardivex,Corvyx Pharma,True,2022-01-31,2022-01-31,2022,5,2022-W05,False,Unknown,Cardiology,Cardivex,Corvyx Pharma,191.9,43.3,551.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
01-Sep-2025,192,2025,telangana,cardiology,Cordamet,,257.7,85.7,676,telangana,cardiology,Cordamet,,True,2025-09-01,2025-09-01,2025,36,2025-W36,False,Telangana,Cardiology,Cordamet,Unknown,257.7,85.7,676.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
27/03/2023,65,2023,,Respiratory,Respivan,Aerovant Pharma,277.0,78.1,854,,Respiratory,Respivan,Aerovant Pharma,True,2023-03-27,2023-03-27,2023,13,2023-W13,False,Unknown,Respiratory,Respivan,Aerovant Pharma,277.0,78.1,854.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
05/12/2022,49,2022,,diabetes,Insulyn,Insulara Biotech,260.1,53.6,877,,diabetes,Insulyn,Insulara Biotech,True,2022-12-05,2022-12-05,2022,49,2022-W49,False,Unknown,Diabetes,Insulyn,Insulara Biotech,260.1,53.6,877.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2023-05-29,74,2023,Kerala,Cardiology,Cardivex,,123.2,28.7,412,Kerala,Cardiology,Cardivex,,True,2023-05-29,2023-05-29,2023,22,2023-W22,False,Kerala,Cardiology,Cardivex,Unknown,123.2,28.7,412.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
15-Jul-2024,133,2024,,  Cardiology  ,Cardivex,Corvyx Pharma,110.3,25.9,342,,Cardiology,Cardivex,Corvyx Pharma,True,2024-07-15,2024-07-15,2024,29,2024-W29,False,Unknown,Cardiology,Cardivex,Corvyx Pharma,110.3,25.9,342.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
29-Sep-2025,196,2025,TELANGANA,Diabetes,Insulyn,,155.0,29.6,484,TELANGANA,Diabetes,Insulyn,,True,2025-09-29,2025-09-29,2025,40,2025-W40,False,Telangana,Diabetes,Insulyn,Unknown,155.0,29.6,484.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
22-Apr-2024,121,2024,  Telangana  ,RESPIRATORY,Airovent,,103.5,19.4,308,Telangana,RESPIRATORY,Airovent,,True,2024-04-22,2024-04-22,2024,17,2024-W17,False,Telangana,Respiratory,Airovent,Unknown,103.5,19.4,308.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
11/10/2025,202,2025,,CARDIOLOGY,Cordamet,Meditrix Labs,392.6,101.6,1084,,CARDIOLOGY,Cordamet,Meditrix Labs,True,2025-11-10,2025-11-10,2025,46,2025-W46,False,Unknown,Cardiology,Cordamet,Meditrix Labs,392.6,101.6,1084.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2023-07-03,79,2023,,DIABETES,Glucotend,Glucera Health,242.2,72.4,698,,DIABETES,Glucotend,Glucera Health,True,2023-07-03,2023-07-03,2023,27,2023-W27,False,Unknown,Diabetes,Glucotend,Glucera Health,242.2,72.4,698.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
25-Aug-2025,191,2025,Telangana,  Respiratory  ,Airovent,,161.5,33.0,433,Telangana,Respiratory,Airovent,,True,2025-08-25,2025-08-25,2025,35,2025-W35,False,Telangana,Respiratory,Airovent,Unknown,161.5,33.0,433.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
12-Aug-2024,137,2024,ANDHRA PRADESH,Diabetes,Glucotend,,214.9,30.4,583,ANDHRA PRADESH,Diabetes,Glucotend,,True,2024-08-12,2024-08-12,2024,33,2024-W33,False,Andhra Pradesh,Diabetes,Glucotend,Unknown,214.9,30.4,583.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
03/01/2022,1,2022,,CARDIOLOGY,Vascolin,Zenova Biosciences,348.8,71.7,929,,CARDIOLOGY,Vascolin,Zenova Biosciences,True,2022-01-03,2022-01-03,2022,1,2022-W01,False,Unknown,Cardiology,Vascolin,Zenova Biosciences,348.8,71.7,929.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
12/02/2024,153,2024,Gujarat,  Cardiology  ,Cardivex,,121.0,36.1,368,Gujarat,Cardiology,Cardivex,,True,2024-12-02,2024-12-02,2024,49,2024-W49,False,Gujarat,Cardiology,Cardivex,Unknown,121.0,36.1,368.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
2022-07-11,28,2022,andhra pradesh,RESPIRATORY,Bronchel,,122.9,27.4,394,andhra pradesh,RESPIRATORY,Bronchel,,True,2022-07-11,2022-07-11,2022,28,2022-W28,False,Andhra Pradesh,Respiratory,Bronchel,Unknown,122.9,27.4,394.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
20/02/2023,60,2023,,CARDIOLOGY,Vascolin,Zenova Biosciences,253.1,64.8,801,,CARDIOLOGY,Vascolin,Zenova Biosciences,True,2023-02-20,2023-02-20,2023,8,2023-W08,False,Unknown,Cardiology,Vascolin,Zenova Biosciences,253.1,64.8,801.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
03/31/2025,170,2025,  Karnataka  ,Respiratory,Bronchel,,191.0,39.2,568,Karnataka,Respiratory,Bronchel,,True,2025-03-31,2025-03-31,2025,14,2025-W14,False,Karnataka,Respiratory,Bronchel,Unknown,191.0,39.2,568.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
10/10/2022,41,2022,,DIABETES,Metforal,Novanta Pharma,136.7,21.4,454,,DIABETES,Metforal,Novanta Pharma,True,2022-10-10,2022-10-10,2022,41,2022-W41,False,Unknown,Diabetes,Metforal,Novanta Pharma,136.7,21.4,454.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
19/12/2022,51,2022,,Respiratory,Airovent,Pulmovia Therapeutics,200.2,53.6,613,,Respiratory,Airovent,Pulmovia Therapeutics,True,2022-12-19,2022-12-19,2022,51,2022-W51,False,Unknown,Respiratory,Airovent,Pulmovia Therapeutics,200.2,53.6,613.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2025/04/28,174,2025,  Telangana  ,respiratory,Airovent,,88.8,34.4,,Telangana,respiratory,Airovent,,True,2025-04-28,2025-04-28,2025,18,2025-W18,False,Telangana,Respiratory,Airovent,Unknown,88.8,34.4,,False,True,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
08/01/2022,31,2022,,CARDIOLOGY,Cardivex,Corvyx Pharma,360.4,96.1,1041,,CARDIOLOGY,Cardivex,Corvyx Pharma,True,2022-08-01,2022-08-01,2022,31,2022-W31,False,Unknown,Cardiology,Cardivex,Corvyx Pharma,360.4,96.1,1041.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
08/04/2024,119,2024,GUJARAT,cardiology,Vascolin,,258.5,62.0,777,GUJARAT,cardiology,Vascolin,,True,2024-04-08,2024-04-08,2024,15,2024-W15,False,Gujarat,Cardiology,Vascolin,Unknown,258.5,62.0,777.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
03-Nov-2025,201,2025,,respiratory,Respivan,Aerovant Pharma,153.2,35.3,399,,respiratory,Respivan,Aerovant Pharma,True,2025-11-03,2025-11-03,2025,45,2025-W45,False,Unknown,Respiratory,Respivan,Aerovant Pharma,153.2,35.3,399.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2024-06-17,129,2024,,Cardiology,Cardivex,Corvyx Pharma,200.2,51.4,680,,Cardiology,Cardivex,Corvyx Pharma,True,2024-06-17,2024-06-17,2024,25,2024-W25,False,Unknown,Cardiology,Cardivex,Corvyx Pharma,200.2,51.4,680.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
04/03/2023,66,2023,,Cardiology,Vascolin,Zenova Biosciences,266.4,52.1,898,,Cardiology,Vascolin,Zenova Biosciences,True,2023-04-03,2023-04-03,2023,14,2023-W14,False,Unknown,Cardiology,Vascolin,Zenova Biosciences,266.4,52.1,898.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2023-06-12,76,2023,,RESPIRATORY,Airovent,Pulmovia Therapeutics,90.4,16.4,266,,RESPIRATORY,Airovent,Pulmovia Therapeutics,True,2023-06-12,2023-06-12,2023,24,2023-W24,False,Unknown,Respiratory,Airovent,Pulmovia Therapeutics,90.4,16.4,266.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
10-Oct-2022,41,2022,,  Respiratory  ,Airovent,Pulmovia Therapeutics,188.3,48.8,549,,Respiratory,Airovent,Pulmovia Therapeutics,True,2022-10-10,2022-10-10,2022,41,2022-W41,False,Unknown,Respiratory,Airovent,Pulmovia Therapeutics,188.3,48.8,549.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
05/12/2022,49,2022,Maharashtra,Respiratory,Airovent,,230.8,50.9,579,Maharashtra,Respiratory,Airovent,,True,2022-12-05,2022-12-05,2022,49,2022-W49,False,Maharashtra,Respiratory,Airovent,Unknown,230.8,50.9,579.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
08/22/2022,34,2022,,respiratory,Bronchel,Breathex Labs,192.9,46.1,483,,respiratory,Bronchel,Breathex Labs,True,2022-08-22,2022-08-22,2022,34,2022-W34,False,Unknown,Respiratory,Bronchel,Breathex Labs,192.9,46.1,483.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2024/02/12,111,2024,,DIABETES,Insulyn,Insulara Biotech,214.8,55.9,722,,DIABETES,Insulyn,Insulara Biotech,True,2024-02-12,2024-02-12,2024,7,2024-W07,False,Unknown,Diabetes,Insulyn,Insulara Biotech,214.8,55.9,722.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2023/03/06,62,2023,WEST BENGAL,Cardiology,Vascolin,,351.4,63.1,1098,WEST BENGAL,Cardiology,Vascolin,,True,2023-03-06,2023-03-06,2023,10,2023-W10,False,West Bengal,Cardiology,Vascolin,Unknown,351.4,63.1,1098.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
2023/12/25,104,2023,,RESPIRATORY,Bronchel,Breathex Labs,109.4,40.6,358,,RESPIRATORY,Bronchel,Breathex Labs,True,2023-12-25,2023-12-25,2023,52,2023-W52,False,Unknown,Respiratory,Bronchel,Breathex Labs,109.4,40.6,358.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
26-Aug-2024,139,2024,  Karnataka  ,CARDIOLOGY,Cardivex,,147.0,36.9,495,Karnataka,CARDIOLOGY,Cardivex,,True,2024-08-26,2024-08-26,2024,35,2024-W35,False,Karnataka,Cardiology,Cardivex,Unknown,147.0,36.9,495.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
03/25/2024,117,2024,Telangana,cardiology,Cardivex,,108.3,49.8,311,Telangana,cardiology,Cardivex,,True,2024-03-25,2024-03-25,2024,13,2024-W13,False,Telangana,Cardiology,Cardivex,Unknown,108.3,49.8,311.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
08-Jan-2024,106,2024,  Karnataka  ,Respiratory,Respivan,,136.1,32.0,458,Karnataka,Respiratory,Respivan,,True,2024-01-08,2024-01-08,2024,2,2024-W02,False,Karnataka,Respiratory,Respivan,Unknown,136.1,32.0,458.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
2024/09/09,141,2024,,Diabetes,Glucotend,Glucera Health,184.3,35.0,541,,Diabetes,Glucotend,Glucera Health,True,2024-09-09,2024-09-09,2024,37,2024-W37,False,Unknown,Diabetes,Glucotend,Glucera Health,184.3,35.0,541.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
